constructorStandingsId,year,round,constructorId,points,position,positionText,wins
480,2012,3,ferrari,37,3,3,1
481,2012,3,sauber,31,4,4,0
482,2012,3,mercedes,26,5,5,1
483,2012,3,lotus_f1,24,6,6,0
484,2012,3,williams,18,7,7,0
485,2012,3,force_india,9,8,8,0
486,2012,3,toro_rosso,6,9,9,0
487,2012,3,marussia,0,10,10,0
488,2012,3,caterham,0,11,11,0
489,2012,3,hrt,0,12,12,0
490,2012,4,red_bull,101,1,1,1
491,2012,4,mclaren,92,2,2,1
492,2012,4,lotus_f1,57,3,3,0
493,2012,4,ferrari,45,4,4,1
494,2012,4,mercedes,37,5,5,1
495,2012,4,sauber,31,6,6,0
496,2012,4,williams,18,7,7,0
497,2012,4,force_india,17,8,8,0
498,2012,4,toro_rosso,6,9,9,0
499,2012,4,marussia,0,10,10,0
500,2012,4,caterham,0,11,11,0
501,2012,4,hrt,0,12,12,0
502,2012,5,red_bull,109,1,1,1
503,2012,5,mclaren,98,2,2,1
504,2012,5,lotus_f1,84,3,3,0
505,2012,5,ferrari,63,4,4,1
506,2012,5,mercedes,43,5,5,1
507,2012,5,williams,43,6,6,1
508,2012,5,sauber,41,7,7,0
509,2012,5,force_india,18,8,8,0
510,2012,5,toro_rosso,6,9,9,0
511,2012,5,marussia,0,10,10,0
512,2012,5,caterham,0,11,11,0
513,2012,5,hrt,0,12,12,0
514,2012,6,red_bull,146,1,1,2
515,2012,6,mclaren,108,2,2,1
516,2012,6,ferrari,86,3,3,1
517,2012,6,lotus_f1,86,4,4,0
518,2012,6,mercedes,61,5,5,1
519,2012,6,williams,44,6,6,1
520,2012,6,sauber,41,7,7,0
521,2012,6,force_india,28,8,8,0
522,2012,6,toro_rosso,6,9,9,0
523,2012,6,caterham,0,10,10,0
524,2012,6,marussia,0,11,11,0
525,2012,6,hrt,0,12,12,0
526,2012,7,red_bull,164,1,1,2
527,2012,7,mclaren,133,2,2,2
528,2012,7,lotus_f1,108,3,3,0
529,2012,7,ferrari,97,4,4,1
530,2012,7,mercedes,69,5,5,1
531,2012,7,sauber,58,6,6,0
532,2012,7,williams,44,7,7,1
533,2012,7,force_india,28,8,8,0
534,2012,7,toro_rosso,6,9,9,0
535,2012,7,caterham,0,10,10,0
536,2012,7,marussia,0,11,11,0
537,2012,7,hrt,0,12,12,0
538,2012,8,red_bull,176,1,1,2
539,2012,8,mclaren,137,2,2,2
540,2012,8,lotus_f1,126,3,3,0
541,2012,8,ferrari,122,4,4,2
542,2012,8,mercedes,92,5,5,1
543,2012,8,sauber,60,6,6,0
544,2012,8,williams,45,7,7,1
545,2012,8,force_india,44,8,8,0
546,2012,8,toro_rosso,6,9,9,0
547,2012,8,caterham,0,10,10,0
548,2012,8,marussia,0,11,11,0
549,2012,8,hrt,0,12,12,0
550,2012,9,red_bull,216,1,1,3
551,2012,9,ferrari,152,2,2,2
552,2012,9,lotus_f1,144,3,3,0
553,2012,9,mclaren,142,4,4,2
554,2012,9,mercedes,98,5,5,1
555,2012,9,sauber,60,6,6,0
556,2012,9,williams,47,7,7,1
557,2012,9,force_india,44,8,8,0
558,2012,9,toro_rosso,6,9,9,0
559,2012,9,caterham,0,10,10,0
560,2012,9,marussia,0,11,11,0
561,2012,9,hrt,0,12,12,0
562,2012,10,red_bull,230,1,1,3
563,2012,10,ferrari,177,2,2,3
564,2012,10,mclaren,160,3,3,2
565,2012,10,lotus_f1,159,4,4,0
566,2012,10,mercedes,105,5,5,1
567,2012,10,sauber,80,6,6,0
568,2012,10,williams,47,7,7,1
569,2012,10,force_india,46,8,8,0
570,2012,10,toro_rosso,6,9,9,0
571,2012,10,caterham,0,10,10,0
572,2012,10,marussia,0,11,11,0
573,2012,10,hrt,0,12,12,0
574,2012,11,red_bull,246,1,1,3
575,2012,11,mclaren,193,2,2,3
576,2012,11,lotus_f1,192,3,3,0
577,2012,11,ferrari,189,4,4,3
578,2012,11,mercedes,106,5,5,1
579,2012,11,sauber,80,6,6,0
580,2012,11,williams,53,7,7,1
581,2012,11,force_india,46,8,8,0
582,2012,11,toro_rosso,6,9,9,0
583,2012,11,caterham,0,10,10,0
584,2012,11,marussia,0,11,11,0
585,2012,11,hrt,0,12,12,0
586,2012,12,red_bull,272,1,1,3
587,2012,12,mclaren,218,2,2,4
588,2012,12,lotus_f1,207,3,3,0
589,2012,12,ferrari,199,4,4,3
590,2012,12,mercedes,112,5,5,1
591,2012,12,sauber,80,6,6,0
592,2012,12,force_india,59,7,7,0
593,2012,12,williams,53,8,8,1
594,2012,12,toro_rosso,12,9,9,0
595,2012,12,caterham,0,10,10,0
